Month,DayofMonth,DayOfWeek,ArrDelay,DepDelay,Origin,Dest,Cancelled
10,15,4,17,13,LAX,SFO,0
10,16,5,29,21,LAX,SFO,0
10,18,7,9,2,LAX,SFO,0
10,19,1,3,0,LAX,SFO,0
10,20,2,4,6,LAX,SFO,0
10,21,3,20,12,LAX,SFO,0
10,22,4,39,26,LAX,SFO,0
10,23,5,24,16,LAX,SFO,0
10,25,7,11,0,LAX,SFO,0
10,27,2,20,4,LAX,SFO,0
10,28,3,49,31,LAX,SFO,0
10,29,4,43,41,LAX,SFO,0
10,30,5,3,4,LAX,SFO,0
10,31,6,13,9,LAX,SFO,0
10,3,6,9,0,OAK,SAN,0
10,10,6,6,-1,OAK,SAN,0
10,17,6,6,-1,OAK,SAN,0
10,24,6,9,0,OAK,SAN,0
10,31,6,29,20,OAK,SAN,0
10,28,3,5,2,LAS,SAN,0
10,29,4,79,77,LAS,SAN,0
10,30,5,0,1,LAS,SAN,0
10,31,6,12,0,LAS,SAN,0
10,1,4,-4,0,SAN,OAK,0
10,2,5,11,1,SAN,OAK,0
10,3,6,3,0,SAN,OAK,0
10,4,7,5,7,SAN,OAK,0
10,5,1,-4,-1,SAN,OAK,0
10,6,2,0,-1,SAN,OAK,0
10,7,3,-2,0,SAN,OAK,0
10,8,4,0,-1,SAN,OAK,0
10,9,5,-2,-1,SAN,OAK,0
10,10,6,0,-1,SAN,OAK,0
10,11,7,-4,1,SAN,OAK,0
10,12,1,-3,0,SAN,OAK,0
10,13,2,2,-2,SAN,OAK,0
10,14,3,1,0,SAN,OAK,0
10,15,4,0,0,SAN,OAK,0
10,16,5,1,-1,SAN,OAK,0
10,17,6,7,-1,SAN,OAK,0
10,19,1,-2,1,SAN,OAK,0
10,20,2,-6,-2,SAN,OAK,0
10,21,3,-4,0,SAN,OAK,0
10,22,4,4,1,SAN,OAK,0
10,23,5,0,0,SAN,OAK,0
10,24,6,1,-1,SAN,OAK,0
10,25,7,-5,-2,SAN,OAK,0
10,26,1,-4,-1,SAN,OAK,0
10,27,2,-6,-1,SAN,OAK,0
10,28,3,-11,0,SAN,OAK,0
10,29,4,63,64,SAN,OAK,0
10,30,5,-5,-1,SAN,OAK,0
10,31,6,-10,-1,SAN,OAK,0
10,1,4,15,0,OAK,SAN,0
10,2,5,7,5,OAK,SAN,0
10,5,1,6,-1,OAK,SAN,0
10,6,2,4,-1,OAK,SAN,0
10,7,3,3,-1,OAK,SAN,0
10,8,4,18,9,OAK,SAN,0
10,9,5,19,16,OAK,SAN,0
10,11,7,15,2,OAK,SAN,0
10,13,2,-2,-1,OAK,SAN,0
10,14,3,8,6,OAK,SAN,0
10,15,4,8,0,OAK,SAN,0
10,16,5,5,1,OAK,SAN,0
10,18,7,25,22,OAK,SAN,0
10,19,1,9,0,OAK,SAN,0
10,20,2,7,0,OAK,SAN,0
10,22,4,9,1,OAK,SAN,0
10,23,5,24,18,OAK,SAN,0
10,25,7,6,1,OAK,SAN,0
10,26,1,3,-1,OAK,SAN,0
10,27,2,9,0,OAK,SAN,0
10,28,3,8,-1,OAK,SAN,0
10,29,4,-4,-1,OAK,SAN,0
10,30,5,6,-3,OAK,SAN,0
10,1,4,26,16,LAX,SFO,0
10,2,5,15,12,LAX,SFO,0
10,4,7,16,8,LAX,SFO,0
10,5,1,10,5,LAX,SFO,0
10,6,2,28,7,LAX,SFO,0
10,7,3,10,-1,LAX,SFO,0
10,9,5,55,33,LAX,SFO,0
10,11,7,25,9,LAX,SFO,0
10,12,1,22,12,LAX,SFO,0
10,13,2,12,1,LAX,SFO,0
10,14,3,16,7,LAX,SFO,0
10,16,5,91,72,LAX,SFO,0
10,18,7,12,5,LAX,SFO,0
10,19,1,6,0,LAX,SFO,0
10,20,2,9,4,LAX,SFO,0
10,21,3,3,0,LAX,SFO,0
10,22,4,187,135,LAX,SFO,0
10,23,5,43,40,LAX,SFO,0
10,25,7,11,6,LAX,SFO,0
10,26,1,22,16,LAX,SFO,0
10,27,2,10,0,LAX,SFO,0
10,1,4,8,0,OAK,SAN,0
10,2,5,4,0,OAK,SAN,0
10,3,6,22,0,OAK,SAN,0
10,4,7,8,0,OAK,SAN,0
10,5,1,10,0,OAK,SAN,0
10,6,2,3,-2,OAK,SAN,0
10,7,3,3,-1,OAK,SAN,0
10,8,4,0,0,OAK,SAN,0
10,9,5,4,0,OAK,SAN,0
10,10,6,9,-1,OAK,SAN,0
10,11,7,11,0,OAK,SAN,0
10,12,1,5,-1,OAK,SAN,0
10,13,2,2,1,OAK,SAN,0
10,14,3,1,0,OAK,SAN,0
10,15,4,11,0,OAK,SAN,0
10,16,5,11,-1,OAK,SAN,0
10,17,6,16,0,OAK,SAN,0
10,19,1,4,-1,OAK,SAN,0
10,20,2,7,0,OAK,SAN,0
10,21,3,6,-1,OAK,SAN,0
10,22,4,12,1,OAK,SAN,0
10,23,5,5,2,OAK,SAN,0
10,24,6,6,0,OAK,SAN,0
10,25,7,3,-1,OAK,SAN,0
10,26,1,1,-2,OAK,SAN,0
10,27,2,6,-1,OAK,SAN,0
10,28,3,4,0,OAK,SAN,0
10,29,4,45,47,OAK,SAN,0
10,30,5,4,0,OAK,SAN,0
10,31,6,10,0,OAK,SAN,0
10,28,3,-2,0,SAN,LAS,0
10,29,4,31,35,SAN,LAS,0
10,30,5,6,6,SAN,LAS,0
10,31,6,8,0,SAN,LAS,0
10,1,4,22,12,SAN,OAK,0
10,2,5,6,-1,SAN,OAK,0
10,4,7,-1,0,SAN,OAK,0
10,5,1,-1,-2,SAN,OAK,0
10,6,2,0,-1,SAN,OAK,0
10,8,4,18,0,SAN,OAK,0
10,9,5,6,-1,SAN,OAK,0
10,11,7,-1,2,SAN,OAK,0
10,12,1,22,22,SAN,OAK,0
10,13,2,2,-1,SAN,OAK,0
10,14,3,5,-1,SAN,OAK,0
10,15,4,6,1,SAN,OAK,0
10,16,5,3,2,SAN,OAK,0
10,18,7,0,-1,SAN,OAK,0
10,19,1,7,2,SAN,OAK,0
10,20,2,5,1,SAN,OAK,0
10,21,3,1,2,SAN,OAK,0
10,22,4,-1,-2,SAN,OAK,0
10,23,5,3,-1,SAN,OAK,0
10,25,7,5,0,SAN,OAK,0
10,26,1,6,2,SAN,OAK,0
10,27,2,3,-2,SAN,OAK,0
10,29,4,-3,0,SAN,OAK,0
10,30,5,5,-1,SAN,OAK,0
10,1,4,15,5,SFO,SAN,0
10,2,5,9,1,SFO,SAN,0
10,4,7,36,30,SFO,SAN,0
10,5,1,NA,NA,SFO,SAN,1
10,6,2,22,17,SFO,SAN,0
10,7,3,3,5,SFO,SAN,0
10,8,4,57,56,SFO,SAN,0
10,11,7,14,8,SFO,SAN,0
10,12,1,16,14,SFO,SAN,0
10,13,2,58,57,SFO,SAN,0
10,14,3,41,29,SFO,SAN,0
10,15,4,18,13,SFO,SAN,0
10,16,5,9,4,SFO,SAN,0
10,18,7,33,30,SFO,SAN,0
10,19,1,1,1,SFO,SAN,0
10,20,2,27,24,SFO,SAN,0
10,21,3,6,7,SFO,SAN,0
10,22,4,42,37,SFO,SAN,0
10,23,5,53,45,SFO,SAN,0
10,25,7,25,16,SFO,SAN,0
10,26,1,32,19,SFO,SAN,0
10,27,2,21,7,SFO,SAN,0
10,28,3,71,62,SFO,SAN,0
10,29,4,39,33,SFO,SAN,0
10,30,5,27,16,SFO,SAN,0
10,1,4,0,0,SNA,OAK,0
10,2,5,6,1,SNA,OAK,0
10,3,6,2,0,SNA,OAK,0
10,5,1,5,0,SNA,OAK,0
10,6,2,1,2,SNA,OAK,0
10,7,3,4,0,SNA,OAK,0
10,8,4,16,5,SNA,OAK,0
10,9,5,22,12,SNA,OAK,0
10,10,6,11,15,SNA,OAK,0
10,11,7,6,5,SNA,OAK,0
10,13,2,1,-1,SNA,OAK,0
10,14,3,3,-1,SNA,OAK,0
10,15,4,1,0,SNA,OAK,0
10,16,5,1,-1,SNA,OAK,0
10,17,6,0,2,SNA,OAK,0
10,18,7,25,22,SNA,OAK,0
10,19,1,-3,-2,SNA,OAK,0
10,20,2,-3,-2,SNA,OAK,0
10,22,4,3,7,SNA,OAK,0
10,23,5,18,17,SNA,OAK,0
10,24,6,0,-2,SNA,OAK,0
10,25,7,4,-1,SNA,OAK,0
10,26,1,0,-1,SNA,OAK,0
10,27,2,-1,2,SNA,OAK,0
10,28,3,-1,1,SNA,OAK,0
10,29,4,-2,-2,SNA,OAK,0
10,30,5,-8,-3,SNA,OAK,0
10,31,6,-8,-1,SNA,OAK,0
10,2,5,0,-1,OAK,SAN,0
10,4,7,54,49,OAK,SAN,0
10,9,5,3,0,OAK,SAN,0
10,11,7,5,1,OAK,SAN,0
10,16,5,5,0,OAK,SAN,0
10,18,7,7,-1,OAK,SAN,0
10,23,5,27,20,OAK,SAN,0
10,25,7,6,0,OAK,SAN,0
10,30,5,17,2,OAK,SAN,0
10,2,5,1,-1,SAN,OAK,0
10,4,7,53,55,SAN,OAK,0
10,9,5,6,5,SAN,OAK,0
10,11,7,1,-2,SAN,OAK,0
10,16,5,11,10,SAN,OAK,0
10,18,7,5,8,SAN,OAK,0
10,23,5,28,19,SAN,OAK,0
10,25,7,2,2,SAN,OAK,0
10,30,5,-1,6,SAN,OAK,0
10,1,4,3,1,SFO,SAN,0
10,2,5,2,0,SFO,SAN,0
10,4,7,16,10,SFO,SAN,0
10,5,1,103,79,SFO,SAN,0
10,6,2,8,0,SFO,SAN,0
10,9,5,4,2,SFO,SAN,0
10,11,7,27,20,SFO,SAN,0
10,12,1,1,0,SFO,SAN,0
10,13,2,5,-1,SFO,SAN,0
10,14,3,-1,-1,SFO,SAN,0
10,15,4,6,3,SFO,SAN,0
10,16,5,55,43,SFO,SAN,0
10,18,7,4,1,SFO,SAN,0
10,19,1,6,0,SFO,SAN,0
10,20,2,1,0,SFO,SAN,0
10,21,3,6,-1,SFO,SAN,0
10,22,4,77,64,SFO,SAN,0
10,23,5,6,1,SFO,SAN,0
10,25,7,10,3,SFO,SAN,0
10,26,1,6,0,SFO,SAN,0
10,27,2,12,0,SFO,SAN,0
10,30,5,16,12,SFO,SAN,0
10,1,4,5,0,SAN,OAK,0
10,2,5,13,1,SAN,OAK,0
10,3,6,8,-1,SAN,OAK,0
10,4,7,6,2,SAN,OAK,0
10,5,1,-2,-1,SAN,OAK,0
10,6,2,-4,-1,SAN,OAK,0
10,8,4,13,2,SAN,OAK,0
10,9,5,3,5,SAN,OAK,0
10,10,6,-11,0,SAN,OAK,0
10,11,7,9,0,SAN,OAK,0
10,13,2,2,-1,SAN,OAK,0
10,14,3,4,-1,SAN,OAK,0
10,17,6,-1,-1,SAN,OAK,0
10,18,7,4,-1,SAN,OAK,0
10,19,1,8,-1,SAN,OAK,0
10,20,2,1,0,SAN,OAK,0
10,21,3,0,-2,SAN,OAK,0
10,22,4,16,-1,SAN,OAK,0
10,23,5,7,0,SAN,OAK,0
10,24,6,0,1,SAN,OAK,0
10,25,7,1,-8,SAN,OAK,0
10,26,1,0,-1,SAN,OAK,0
10,27,2,21,17,SAN,OAK,0
10,28,3,-3,0,SAN,OAK,0
10,30,5,-4,3,SAN,OAK,0
10,31,6,-10,-1,SAN,OAK,0
10,1,4,21,12,OAK,SAN,0
10,4,7,52,45,OAK,SAN,0
10,5,1,22,12,OAK,SAN,0
10,6,2,13,4,OAK,SAN,0
10,7,3,1,0,OAK,SAN,0
10,8,4,3,-1,OAK,SAN,0
10,9,5,47,41,OAK,SAN,0
10,11,7,11,3,OAK,SAN,0
10,12,1,7,5,OAK,SAN,0
10,13,2,-2,-1,OAK,SAN,0
10,14,3,2,-1,OAK,SAN,0
10,15,4,9,6,OAK,SAN,0
10,16,5,5,1,OAK,SAN,0
10,18,7,17,12,OAK,SAN,0
10,19,1,5,0,OAK,SAN,0
10,20,2,8,-1,OAK,SAN,0
10,21,3,7,-1,OAK,SAN,0
10,22,4,53,36,OAK,SAN,0
10,23,5,23,19,OAK,SAN,0
10,25,7,30,21,OAK,SAN,0
10,26,1,40,24,OAK,SAN,0
10,27,2,15,6,OAK,SAN,0
10,28,3,21,8,OAK,SAN,0
10,29,4,-2,-1,OAK,SAN,0
10,30,5,9,-1,OAK,SAN,0
10,1,4,14,10,SNA,OAK,0
10,2,5,-2,-2,SNA,OAK,0
10,3,6,1,-1,SNA,OAK,0
10,4,7,3,1,SNA,OAK,0
10,5,1,1,3,SNA,OAK,0
10,6,2,14,17,SNA,OAK,0
10,7,3,26,27,SNA,OAK,0
10,8,4,11,4,SNA,OAK,0
10,9,5,0,0,SNA,OAK,0
10,11,7,-6,-2,SNA,OAK,0
10,12,1,2,0,SNA,OAK,0
10,13,2,25,11,SNA,OAK,0
10,14,3,20,9,SNA,OAK,0
10,15,4,39,23,SNA,OAK,0
10,16,5,14,7,SNA,OAK,0
10,17,6,8,-2,SNA,OAK,0
10,18,7,0,0,SNA,OAK,0
10,19,1,12,9,SNA,OAK,0
10,20,2,2,1,SNA,OAK,0
10,21,3,-1,-2,SNA,OAK,0
10,22,4,16,6,SNA,OAK,0
10,23,5,6,1,SNA,OAK,0
10,24,6,-2,-1,SNA,OAK,0
10,25,7,-5,-2,SNA,OAK,0
10,26,1,6,2,SNA,OAK,0
10,27,2,2,1,SNA,OAK,0
10,28,3,4,-1,SNA,OAK,0
10,29,4,3,1,SNA,OAK,0
10,30,5,-3,-2,SNA,OAK,0
10,31,6,-11,-1,SNA,OAK,0
10,1,4,11,2,OAK,SNA,0
10,2,5,0,-1,OAK,SNA,0
10,3,6,4,0,OAK,SNA,0
10,4,7,1,-1,OAK,SNA,0
10,5,1,6,-1,OAK,SNA,0
10,6,2,6,1,OAK,SNA,0
10,7,3,20,16,OAK,SNA,0
10,8,4,9,-1,OAK,SNA,0
10,9,5,8,0,OAK,SNA,0
10,11,7,11,-1,OAK,SNA,0
